timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-09,141.45,141.98,140.841,141.52,141.52,3904059,0.0000,1.0
2021-07-08,137.78,141.31,137.66,140.74,140.74,5487425,0.0000,1.0
2021-07-07,138.76,140.33,138.76,139.82,139.82,4059667,0.0000,1.0
2021-07-06,139.99,140.42,137.1,138.78,138.78,8093747,0.0000,1.0
2021-07-02,146.91,146.95,139.46,140.02,140.02,16828161,0.0000,1.0
2021-07-01,146.96,147.5,146.57,146.84,146.84,2686289,0.0000,1.0
2021-06-30,145.13,146.93,144.71,146.59,146.59,3245091,0.0000,1.0
2021-06-29,145.26,146.74,145.1,145.55,145.55,2428626,0.0000,1.0
2021-06-28,147.01,147.3,144.9121,145.29,145.29,3888869,0.0000,1.0
2021-06-25,145.38,146.93,144.945,146.84,146.84,3594218,0.0000,1.0
2021-06-24,145.8,146.19,144.69,145.44,145.44,3609679,0.0000,1.0
2021-06-23,146.43,146.5,144.57,144.61,144.61,3202644,0.0000,1.0
2021-06-22,146.52,146.81,145.35,146.36,146.36,2437121,0.0000,1.0
2021-06-21,144.11,147.07,144.06,146.65,146.65,4285711,0.0000,1.0
2021-06-18,144.48,144.68,143.04,143.12,143.12,9156505,0.0000,1.0
2021-06-17,147.55,148.06,145.28,145.6,145.6,4367387,0.0000,1.0
2021-06-16,149.76,149.76,147.22,147.83,147.83,3795420,0.0000,1.0
2021-06-15,149.85,149.91,148.6,149.36,149.36,2513281,0.0000,1.0
2021-06-14,150.71,151.03,148.655,150.03,150.03,3344845,0.0000,1.0
2021-06-11,150.43,151.845,150.37,151.28,151.28,3438255,0.0000,1.0
2021-06-10,151.47,152.84,149.76,150.54,150.54,4758488,0.0000,1.0
2021-06-09,149.03,151.07,148.82,150.67,150.67,5303252,0.0000,1.0
2021-06-08,148.12,150.2,148.12,149.07,149.07,5080099,0.0000,1.0
2021-06-07,147.55,148.74,147.17,148.02,148.02,3462712,0.0000,1.0
2021-06-04,146.0,147.55,145.76,147.42,147.42,3117905,0.0000,1.0
2021-06-03,144.91,145.88,144.04,145.55,145.55,4130741,0.0000,1.0
2021-06-02,144.62,145.75,144.11,145.72,145.72,2786916,0.0000,1.0
2021-06-01,145.0,145.83,143.75,144.19,144.19,2417455,0.0000,1.0
2021-05-28,144.21,144.33,143.485,143.74,143.74,2534811,0.0000,1.0
2021-05-27,143.82,144.77,143.63,143.82,143.82,5630345,0.0000,1.0
2021-05-26,143.5,143.9894,143.04,143.38,143.38,3083789,0.0000,1.0
2021-05-25,144.92,145.0,143.2,143.79,143.79,3937323,0.0000,1.0
2021-05-24,145.06,145.39,144.18,144.72,144.72,3297570,0.0000,1.0
2021-05-21,144.28,145.699,144.28,144.74,144.74,4033482,0.0000,1.0
2021-05-20,143.12,144.91,142.16,143.88,143.88,4112690,0.0000,1.0
2021-05-19,142.32,143.2,140.92,143.19,143.19,4300732,0.0000,1.0
2021-05-18,144.78,145.3,143.23,143.91,143.91,3824050,0.0000,1.0
